Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1509062001,4,T7_CrossCatDump,avg_completion,1.0,3,Tanjung Pucuk Jambi
1509072002,6,T2_Ghost,avg_completion,1.0,3,Wanareja
1509072006,5,Unclassified,avg_completion,1.0,3,Suka Maju
1509032012,4,T7_CrossCatDump,activity_category,1.0,3,Malako Intan
1509032016,6,T7_CrossCatDump,avg_completion,1.0,3,Pulau Jelmu
1509042002,3,T1_Markup,activity_category,1.0,3,Perintis
1509042006,3,T1_Markup,activity_category,1.0,3,Tirta Kencana
1509042007,6,T7_CrossCatDump,avg_completion,1.0,3,Sapta Mulia
1509012004,3,T1_Markup,activity_category,1.0,3,Mangun Jayo
1509012005,3,T1_Markup,avg_completion,1.0,3,Teluk Pandak
1509012007,4,T1_Markup,avg_completion,1.0,3,Semabu
1509012012,5,T1_Markup,avg_completion,1.0,3,Sungai Alai
1509022002,3,T1_Markup,avg_completion,1.0,3,Sungai Aro
1509032002,3,T1_Markup,activity_category,1.0,3,Sungai Rambai
1501172011,3,T1_Markup,avg_completion,1.0,3,Simpang Belui
1501182003,3,T1_Markup,cost_per_unit,1.0,3,Mukai Mudik
1508152004,5,Unclassified,activity_category,1.0,3,Pulau Kerakap
1508172001,7,T7_CrossCatDump,avg_completion,1.0,3,Sungai Mancur
1508172002,6,T1_Markup,activity_category,1.0,3,Tanah Periuk
1508172004,8,T1_Markup,activity_category,1.0,3,Rantau Embacang
1508172008,6,T7_CrossCatDump,cost_per_unit,1.0,3,Paku Aji
1508172009,6,T2_Ghost,swakelola_high_value,1.0,3,Pematang Panjang
1508112006,7,T2_Ghost,cost_deviation_by_category,1.0,3,Purwo Bakti
1508122004,14,T2_Ghost,activity_category,1.0,3,Sungai Arang
1508132003,4,T2_Ghost,avg_completion,1.0,3,Sungai Mengkuang
1508142005,9,T7_CrossCatDump,cost_per_unit,1.0,3,Timbolasi
1508152002,10,T7_CrossCatDump,avg_completion,1.0,3,Peninjau
1501182004,5,T1_Markup,avg_completion,1.0,3,Senimpik
1501182011,5,T7_CrossCatDump,avg_completion,1.0,3,Mukai Seberang
1508092002,7,T7_CrossCatDump,avg_completion,1.0,3,Danau
1508092006,9,Unclassified,activity_category,1.0,3,Lembah Kuamang
1508092010,4,T1_Markup,cost_per_unit,1.0,3,Maju Jaya
1508092016,14,T1_Markup,avg_completion,1.0,3,Karya Harapan Mukti
1508102002,7,T1_Markup,cost_per_unit,1.0,3,Babeko
1508102004,11,T7_CrossCatDump,avg_completion,1.0,3,Simpang Bebeko
