No,Kode_Provinsi,Provinsi,Kode_Lokasi,Kabupaten_Kota,Kode_Desa,Nama_Desa,Pagu
441,10,JAMBI,1004,KAB. SAROLANGUN,1503052023,Lubuk Sayak,730193000
442,10,JAMBI,1004,KAB. SAROLANGUN,1503062001,Mandiangin,1069653000
443,10,JAMBI,1004,KAB. SAROLANGUN,1503062002,Rangkiling Simpang,783179000
444,10,JAMBI,1004,KAB. SAROLANGUN,1503062003,Pemusiran,1470707000
445,10,JAMBI,1004,KAB. SAROLANGUN,1503062004,Gurun Tuo Simpang,706505000
446,10,JAMBI,1004,KAB. SAROLANGUN,1503062005,Gurun Mudo,718251000
447,10,JAMBI,1004,KAB. SAROLANGUN,1503062006,Gurun Tuo,773430000
448,10,JAMBI,1004,KAB. SAROLANGUN,1503062007,Rangkiling,690439000
449,10,JAMBI,1004,KAB. SAROLANGUN,1503062008,Mandiangin Tuo,890495000
450,10,JAMBI,1004,KAB. SAROLANGUN,1503062009,Kertopati,905122000
451,10,JAMBI,1004,KAB. SAROLANGUN,1503062010,Muaro Ketalo,726912000
452,10,JAMBI,1004,KAB. SAROLANGUN,1503062011,Taman Dewa,808806000
453,10,JAMBI,1004,KAB. SAROLANGUN,1503062012,Simpang Kertopati,659874000
454,10,JAMBI,1004,KAB. SAROLANGUN,1503062013,Bukit Peranginan,760561000
455,10,JAMBI,1004,KAB. SAROLANGUN,1503062020,Gurun Baru,783943000
456,10,JAMBI,1004,KAB. SAROLANGUN,1503062021,Kute Jaye,675845000
457,10,JAMBI,1004,KAB. SAROLANGUN,1503062022,Mandiangin Pasar,867993000
458,10,JAMBI,1004,KAB. SAROLANGUN,1503062023,Sungai Rotan,865542000
459,10,JAMBI,1004,KAB. SAROLANGUN,1503062028,Talang Serdang,728736000
460,10,JAMBI,1004,KAB. SAROLANGUN,1503072001,Lubuk Jering,864893000
461,10,JAMBI,1004,KAB. SAROLANGUN,1503072002,Jernih,922254000
462,10,JAMBI,1004,KAB. SAROLANGUN,1503072003,Desa Baru,914353000
463,10,JAMBI,1004,KAB. SAROLANGUN,1503072004,Semurung,826565000
464,10,JAMBI,1004,KAB. SAROLANGUN,1503072005,Lubuk Kepayang,793932000
465,10,JAMBI,1004,KAB. SAROLANGUN,1503072006,Pematang Kabau,1178808000
466,10,JAMBI,1004,KAB. SAROLANGUN,1503072007,Bukit Suban,1348457000
467,10,JAMBI,1004,KAB. SAROLANGUN,1503072008,Mentawak Baru,891209000
468,10,JAMBI,1004,KAB. SAROLANGUN,1503072009,Mentawak Ulu,943915000
469,10,JAMBI,1004,KAB. SAROLANGUN,1503082001,Rantau Gedang,867006000
470,10,JAMBI,1004,KAB. SAROLANGUN,1503082002,Penarun,696462000
