Kode_Desa,Nama_Desa,Tahun,iqr_flag,if_score,if_flag,lof_score,lof_flag,rda_score,rda_flag,consensus_flag,persistence_score,priority_tier
1504012005,Kembang Tanjung,2023,0,0.08343494743370711,0,1.0221002530155483,0,4.7554066e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.14457800480624916,0,1.0068215863656236,0,4.9033726e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.14303219584368576,0,1.0731139540609482,0,0.00021280753,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.17582525551402667,0,1.2478002556703018,0,1.648551e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.08622557152833638,0,1.0399105844775856,0,8.490003e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.10286893475927222,0,1.0412524509168506,0,8.321834e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.15768329565017147,0,1.6513591393222347,0,2.9766898e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.11769851513227625,0,1.0390673528230963,0,4.0895004e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.13913829334904426,0,1.0153763763300865,0,4.607635e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,1,-0.07886301542907248,1,1.0756891571843057,0,0.00069467403,1,1,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.07419668389097317,0,1.2678650424499738,0,0.00088590395,1,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.156731633653715,0,1.0233773031256697,0,9.413682e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.033608968589812216,0,1.0317892302806098,0,4.905722e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,1,-0.03207957284269647,1,1.683613517030674,0,0.003261311,1,1,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.08613125058239463,0,1.901981504815122,1,0.00042652618,0,1,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,-0.02719679259219976,1,1.0,0,0.0002510021,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,-0.014461505169181321,1,1.0782776260638276,0,0.0009398706,1,1,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.15587613593305266,0,1.0702701847868747,0,1.25822535e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.08888684269128944,0,0.9868860339874941,0,8.945231e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.12699498779916085,0,1.2840370611792222,0,0.00016899078,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,1,-0.007678080890737515,1,0.9767609563440978,0,3.973768e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,1,0.028482169262261436,0,1.0162738866902425,0,4.6695386e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.11512185856076951,0,1.1929999357625236,0,3.4637116e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.14662224214181807,0,1.0256772959943297,0,3.2290736e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,1,0.0717423704390211,0,1.0058218706538347,0,4.4051547e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,1,0.06625539652355134,0,0.970892296160645,0,0.0002689043,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.09455214588124056,0,1.8445028442849316,1,0.0001313096,0,1,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.06507862412220877,0,1.5372906769095247,0,0.0006783948,1,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.1286435989493399,0,1.0025877071328466,0,0.00010353032,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.015391827147435144,0,1.1936298238758343,0,4.6581594e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.16466679929801592,0,1.1155553268750686,0,6.683629e-05,0,0,1.0,Tier 1 – High Priority
1504012006,Mersam,2023,0,0.1530007586694046,0,1.6275458032138983,0,0.00012278833,0,0,1.0,Tier 1 – High Priority
